model,confidence,n_obs,expected_breaches,breach_count,breach_rate,mean_var,mean_cvar,max_loss,kupiec_lr_uc,kupiec_pvalue,christoffersen_lr_ind,christoffersen_pvalue,christoffersen_cc_lr,christoffersen_cc_pvalue,coverage_pass_5pct,independence_pass_5pct,conditional_coverage_pass_5pct,abs_breach_error,coverage_score,valid_backtest
MS_GARCH,0.95,889,44.45000000000004,43,0.048368953880764905,0.04212888076078625,0.06772275075754838,0.15102560052391373,0.050311289032549666,0.8225224903498025,0.3980482216791188,0.5280989616867591,0.44835951071166846,0.7991714661059196,True,True,True,1.4500000000000384,0.032620922384702745,True
SV,0.99,889,8.890000000000008,7,0.007874015748031496,0.07503373984455741,0.11129736133503168,0.15102560052391373,0.4378191884417504,0.5081769226591304,0.11123840087341819,0.7387386151336577,0.5490575893151686,0.7599301220062273,True,True,True,1.8900000000000077,0.21259842519685107,True
